DATE,PCPI06037
1969-01-01,4819
1970-01-01,5059
1971-01-01,5226
1972-01-01,5684
1973-01-01,6130
1974-01-01,6693
1975-01-01,7282
1976-01-01,7904
1977-01-01,8649
1978-01-01,9653
1979-01-01,10771
1980-01-01,11918
1981-01-01,13200
1982-01-01,13770
1983-01-01,14487
1984-01-01,15692
1985-01-01,16613
1986-01-01,17298
1987-01-01,18245
1988-01-01,19322
1989-01-01,20123
1990-01-01,21507
1991-01-01,21622
1992-01-01,22275
1993-01-01,22305
1994-01-01,22828
1995-01-01,23729
1996-01-01,24842
1997-01-01,25688
1998-01-01,27637
1999-01-01,28636
2000-01-01,29938
2001-01-01,30783
2002-01-01,31342
2003-01-01,32655
2004-01-01,34494
2005-01-01,36606
2006-01-01,39784
2007-01-01,41765
2008-01-01,42732
2009-01-01,41229
2010-01-01,42794
2011-01-01,45439
2012-01-01,48075
2013-01-01,47541
2014-01-01,50052
2015-01-01,53067
2016-01-01,54750
2017-01-01,56635
2018-01-01,59004
2019-01-01,62604
2020-01-01,67904
2021-01-01,73343
2022-01-01,74378
2023-01-01,78302
