SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,16980,20994,"Elgin, IL",Metropolitan Division,4,751856,43257,91646,47053,76441,193405,190754,109300
314,16980,29404,"Lake County, IL",Metropolitan Division,4,709899,37545,84133,43461,71926,172383,188168,112283
314,16980,29414,"Lake County-Porter County-Jasper County, IN",Metropolitan Division,4,721689,40216,82836,40907,60304,182063,185264,130099
314,19100,19124,"Dallas-Plano-Irving, TX",Metropolitan Division,4,5355462,339322,673144,321550,492688,1589872,1305820,633066
314,19100,23104,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,4,2591977,164010,333487,160360,238920,738891,625522,330787
314,19820,19804,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,4,1758942,109847,209513,96585,145082,465979,439812,292124
314,19820,47664,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,4,2589694,132171,264190,131561,201396,666048,711351,482977
314,31080,11244,"Anaheim-Santa Ana-Irvine, CA",Metropolitan Division,4,3150372,162987,333484,164475,281289,861310,834422,512405
314,31080,31084,"Los Angeles-Long Beach-Glendale, CA",Metropolitan Division,4,9719765,489345,1019699,487845,857416,2901176,2485561,1478723
314,33100,22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Metropolitan Division,4,1946889,104631,202495,96712,144660,517508,530084,350799
314,33100,33124,"Miami-Miami Beach-Kendall, FL",Metropolitan Division,4,2673056,143893,263843,125710,217733,726329,737476,458072
314,33100,48424,"West Palm Beach-Boca Raton-Delray Beach, FL",Metropolitan Division,4,1519867,74459,141455,69347,111595,354230,389482,379299
314,35620,29484,"Lakewood-New Brunswick, NJ",Metropolitan Division,4,2508032,143108,277863,135135,208253,604374,669489,469810
314,35620,35004,"Nassau County-Suffolk County, NY",Metropolitan Division,4,2913268,153490,308768,152061,251111,706544,809660,531634
314,35620,35084,"Newark, NJ",Metropolitan Division,4,2206740,125401,248351,118432,183821,573469,601074,356192
