DATE,PCPI12086
1969-01-01,4134
1970-01-01,4607
1971-01-01,4892
1972-01-01,5352
1973-01-01,5985
1974-01-01,6446
1975-01-01,6662
1976-01-01,7053
1977-01-01,7633
1978-01-01,8533
1979-01-01,9401
1980-01-01,10473
1981-01-01,11412
1982-01-01,11982
1983-01-01,12737
1984-01-01,13683
1985-01-01,14428
1986-01-01,15021
1987-01-01,15787
1988-01-01,16696
1989-01-01,17789
1990-01-01,18339
1991-01-01,18672
1992-01-01,19191
1993-01-01,20144
1994-01-01,20579
1995-01-01,21462
1996-01-01,22141
1997-01-01,22945
1998-01-01,24300
1999-01-01,25040
2000-01-01,26655
2001-01-01,28347
2002-01-01,28982
2003-01-01,29583
2004-01-01,31601
2005-01-01,33711
2006-01-01,36544
2007-01-01,37803
2008-01-01,37984
2009-01-01,34738
2010-01-01,38303
2011-01-01,39476
2012-01-01,39954
2013-01-01,39422
2014-01-01,41971
2015-01-01,44327
2016-01-01,44087
2017-01-01,48538
2018-01-01,53008
2019-01-01,55424
2020-01-01,56363
2021-01-01,65052
2022-01-01,70497
2023-01-01,75182
